iter	Passed	Remaining
150	385	2167
151	386	2154
152	386	2142
153	387	2129
154	388	2117
155	389	2105
156	390	2094
157	390	2083
158	391	2071
159	392	2059
160	393	2049
161	393	2037
162	394	2026
163	395	2016
164	396	2005
165	397	1996
166	398	1986
167	399	1976
168	399	1966
169	400	1955
170	401	1945
171	402	1935
172	403	1928
173	404	1918
174	404	1908
175	405	1899
176	406	1889
177	407	1879
178	407	1870
179	408	1861
180	409	1850
181	409	1841
182	410	1833
183	411	1824
184	412	1815
185	412	1807
186	413	1798
187	414	1790
188	415	1782
189	416	1774
190	416	1766
191	417	1757
192	418	1749
193	419	1741
194	419	1733
195	420	1725
196	421	1718
197	422	1711
198	423	1703
199	424	1696
200	424	1688
201	425	1680
202	426	1673
203	426	1665
204	427	1658
205	428	1650
206	429	1643
207	429	1636
208	430	1629
209	431	1622
210	432	1615
211	432	1608
212	433	1601
213	434	1595
214	434	1588
215	435	1581
216	436	1574
217	437	1567
218	438	1562
219	438	1555
220	439	1549
221	440	1542
222	440	1536
223	441	1530
224	442	1524
225	443	1517
226	443	1511
227	444	1505
228	445	1499
229	446	1493
230	446	1488
231	447	1482
232	448	1476
233	449	1470
234	449	1464
235	450	1458
236	451	1453
237	452	1449
238	453	1443
239	454	1438
240	454	1432
241	455	1426
242	456	1421
243	456	1415
244	457	1410
245	458	1404
246	459	1399
247	459	1394
248	460	1389
249	461	1383
250	462	1378
251	462	1373
252	463	1368
253	464	1363
254	464	1357
255	465	1352
256	466	1348
257	467	1343
258	467	1338
259	468	1333
260	469	1328
261	469	1323
262	470	1318
263	471	1313
264	471	1308
265	472	1304
266	473	1299
267	474	1294
268	474	1290
269	475	1285
270	476	1280
271	476	1276
272	477	1271
273	478	1267
274	478	1262
275	479	1258
276	480	1254
277	481	1250
278	482	1247
279	483	1242
280	484	1238
281	484	1234
282	485	1229
283	486	1225
284	486	1221
285	487	1217
286	488	1213
287	489	1208
288	489	1204
289	490	1201
290	491	1197
291	492	1193
292	492	1189
293	493	1185
294	494	1182
295	496	1180
296	497	1177
297	498	1173
298	499	1170
299	499	1166
300	500	1162
301	501	1159
302	502	1155
303	503	1152
304	503	1148
305	504	1144
306	505	1141
307	506	1137
308	506	1133
309	507	1129
310	508	1126
311	509	1123
312	510	1120
313	511	1117
314	512	1113
315	512	1109
316	513	1106
317	514	1102
318	514	1099
319	515	1095
320	516	1091
321	516	1088
322	517	1085
323	518	1081
324	519	1078
325	520	1075
326	520	1071
327	521	1068
328	522	1065
329	523	1062
330	524	1059
331	524	1056
332	525	1052
333	526	1049
334	527	1046
335	527	1042
336	528	1039
337	529	1036
338	532	1038
339	533	1035
340	534	1032
341	535	1030
342	536	1027
343	537	1024
344	537	1021
345	538	1018
346	539	1015
347	540	1012
348	541	1009
349	541	1006
350	542	1003
351	543	1000
352	544	997
353	545	994
354	546	992
355	547	989
356	547	986
357	548	984
358	549	981
359	550	978
360	551	976
361	552	973
362	553	971
363	554	968
364	555	966
365	557	965
366	557	962
367	558	959
368	559	956
369	559	953
370	560	950
371	561	947
372	562	944
373	562	942
374	563	939
375	564	936
376	566	936
377	567	933
378	567	930
379	568	927
380	569	924
381	570	922
382	571	920
383	572	918
384	573	915
385	573	912
386	574	910
387	575	907
388	576	905
389	578	904
390	579	902
391	579	899
392	580	897
393	581	894
394	582	892
395	583	890
396	584	887
397	585	885
398	586	882
399	586	880
400	587	877
401	588	875
402	589	873
403	590	870
404	590	868
405	591	865
406	592	863
407	593	860
408	594	858
409	595	856
410	596	855
411	597	852
412	598	850
413	599	848
414	601	847
415	603	846
416	604	844
417	605	842
418	608	844
419	610	842
420	611	840
421	611	838
422	612	835
423	614	834
424	614	831
425	615	829
426	616	827
427	617	824
428	618	823
429	620	822
430	621	819
431	621	817
432	622	815
433	623	812
434	623	810
435	624	808
436	625	806
437	626	803
438	627	801
439	627	798
440	628	796
441	629	794
442	629	791
443	630	789
444	632	789
445	633	787
446	634	784
447	635	782
448	636	780
449	636	778
450	637	776
451	638	774
452	639	772
453	640	769
454	640	767
455	641	765
456	642	763
457	643	761
458	644	759
459	645	758
460	646	756
461	647	754
462	648	751
463	649	749
464	649	747
465	650	745
466	651	743
467	652	741
468	653	739
469	653	737
470	654	735
471	655	732
